created_at,full_text_original,full_text,label
Fri Jan 12 20:03:58 +0000 2024,Shopee ln kapan balik ya.... tiktok shop aja udah balik,shopee kapan balik iya tiktok shop aja balik,neutral
Fri Jan 12 14:13:37 +0000 2024,"DPR Soroti 2 Kementerian Tak Kompak soal Izin Kembali Beroperasinya TikTok Shop, Ada Apa? https://t.co/9dWGIztRbw",dpr sorot menteri tak kompak soal izin operasi tiktok shop apa,negative
Fri Jan 12 11:16:22 +0000 2024,"Langgar Permendag, DPR akan Dalami Muatan Politis di Balik Pelanggaran Tiktok Shop Jum'at, 12/01/2024, 15:13 WIB https://t.co/lnMrp3GP9N",langgar permendag dpr dalam muat politis balik langgar tiktok shop jumat,negative
Fri Jan 12 05:12:24 +0000 2024,@legislatweet Menolak jualan secara online (tutup tiktok shop),tolak jual online tutup tiktok shop,negative
Fri Jan 12 04:37:00 +0000 2024,"@KonCeptDS @TikTokShop_ID @PakDewaBeneran @tiktokIDN Beda banget sama CS marketplace lain. Tiktokshop bukan memudahkan, merepotkan iya. Hhhh mulai nyesel buka tiktokshop",beda banget sama layan langgan marketplace tiktok shop bukan mudah repot iya mulai kecewa buka tiktok shop,negative
Fri Jan 12 03:53:37 +0000 2024,"@Deka_Ajaa Sudah dikulik tempo, artinya umkm emang benar terancam atau tidak baik2 saja dengan kembalinya tiktok shop",lik tempo arti umkm memang benar ancam tidak baik dengan kembali tiktok shop,negative
Thu Jan 11 17:03:26 +0000 2024,inpone mbak dri tiktokshop masih ada sampe tutup dan balik ada lagi @ssupchell @sebatkuyy,informasi tiktok shop tutup balik ada lagi,neutral
Thu Jan 11 12:29:03 +0000 2024,"Pemerintah juga sih inkonsistensi jalankan anturan yg mereka tetapkan sendiri.  Jelas kan skrng, penutupan tiktok shop kemaren hingga kembalinya mereka beroperasi dgn gandeng tokped, sebenarnya bukan untuk melindungi pelaku UMKM gaes!   #tiktokancamumkm  https://t.co/BjP5TNYeqK",perintah sih inkonsistensi jalan atur tetap sendiri jelas sekarang tutup tiktok shop kemarin hingga kembali mereka operasi gandeng tokopedia benar bukan lindung laku umkm,negative
Thu Jan 11 06:39:30 +0000 2024,@Deka_Ajaa Usaha kecil lokal mulai merasakan dampak kembalinya beroperasi tiktok shop dgn gandeng tokped. Sedih,usaha kecil lokal mulai rasa dampak kembali operasi tiktok shop gandeng tokopedia sedih,negative
Thu Jan 11 06:32:52 +0000 2024,"TikTok Shop yang kembali beroperasi di Indonesia terus mendapatkan kritikan dari banyak pihak. Selain itu, perbedaan sikap antara dua kementerian, yakni Kemendag dan KemenkopUKM juga menjadi sorotan.  #IDNTimesBusiness   https://t.co/804yM0Pski https://t.co/WbMAZfSLf6",tiktok shop kembali operasi indonesia terus dapat kritik banyak pihak luar beda sikap dua menteri kemendag kemenkopukm jadi sorot,negative
Thu Jan 11 05:44:32 +0000 2024,"Ternyata karena kurang orang. Paa tiktokshop ditutup, karyawannya juga dikurangi. Pas kemarin dibuka lagi, agak susah nyari karyawan. Yg diajak rejoin udah terlanjur kerja.",nyata kurang orang waktu tiktok shop tutup karyawannya rang kemarin buka agak susah cari karyawan ajak gabung sudah lanjur kerja,negative
