created_at,full_text
Fri Jan 12 23:32:19 +0000 2024,"Ready jual akun tiktok murah nih bsa live, tiktok shop affliate on (min 1.000 fols), tempel web di bio, email/no hp bsa ganti, akun sehat, order bsa wa pgiðŸ˜  TESTIMONI 900+ : https://t.co/TrqIe40vSj  wtb wts need jual acc akun tiktok murah #ZonaUang #zonajajan https://t.co/clDBs2n47c"
Fri Jan 12 23:32:03 +0000 2024,"Ready jual akun tiktok murah nih bsa live, tiktok shop affliate on (min 1.000 fols), tempel web di bio, email/no hp bsa ganti, akun sehat, order bsa wa pgiðŸ˜²  TESTIMONI 900+ : https://t.co/TrqIe40vSj  wtb wts need jual acc akun tiktok murah #ZonaUang #zonajajan https://t.co/Qsx9Jw5bEF"
Fri Jan 12 23:31:07 +0000 2024,"Bismillah sore ready akun tiktok no minus, bisa live, tiktok shop affliate on (min 1k fols), tempel web di bisa, email &amp  no hp bisa ganti, akun sehat, order wa pgiðŸ¦­  TESTI 900+ : https://t.co/aWFkx2nkBQ  wtb wts need jual acc akun tiktok no minus #ZonaUang #zonajajan https://t.co/vDqyYbybJK"
Fri Jan 12 23:30:47 +0000 2024,"Bismillah sore ready akun tiktok no minus, bisa live, tiktok shop affliate on (min 1k fols), tempel web di bisa, email &amp  no hp bisa ganti, akun sehat, order wa pgiðŸ¥°  TESTI 900+ : https://t.co/aWFkx2nkBQ  wtb wts need jual acc akun tiktok no minus #ZonaUang #zonajajan https://t.co/1bQKLy7NPY"
Fri Jan 12 23:27:57 +0000 2024,"OHAYÃ” GOZAIMASU storaaðŸ¥° gassin yuk ke live shopee &amp  tiktokshop orzora, ada promo WEEKEND CERIAðŸ˜ðŸ˜ðŸ˜ gass aja join yach, promonya beragam &amp  diskon 10%-15%Â sekutttttðŸ’•ðŸ’•ðŸ’• #RewindIndonesia2023 #ShopeeID #ShopeeLive  https://t.co/4uG3fcTimk https://t.co/L9JwuOhS5v https://t.co/rV5et0i8vp"
Fri Jan 12 23:17:17 +0000 2024,"haiii haii, selamat pagiâ˜€  oreo jual akun tiktok followers indo yang udah bisa live + tiktokshop yaaa #zonauang #zonaba https://t.co/3Eyb4J3bku"
Fri Jan 12 23:13:42 +0000 2024,"haihaii, pagi athena jual nih akun tiktok bisa live, tiktokshop, yang followersnya indo, yuk beli #zonauang #zonaba https://t.co/Dq374ooJH1"
Fri Jan 12 22:42:23 +0000 2024,@suandharu lagi rame-ramenya nih tiktok shop  #Seger8ener seger bener
Fri Jan 12 22:31:00 +0000 2024,"Gk baik memang scroll scroll TikTok Shop sm Shopee, gk berasa uda ada beberapa barang yg ku check-out ðŸ˜­ hampir kalap beli beli lg tp alhamdulillah tersadarkan ðŸ¥²"
Fri Jan 12 21:30:45 +0000 2024,"Sini kak murah meriah, yang kanan harga 45 ribu aja udh bisa live cam &amp  game + tiktok shop affiliate on, Fols aktif real indo hasil ngonten fyp, no bot/suntik https://t.co/ozJkQFHeiO"
Fri Jan 12 20:03:58 +0000 2024,Shopee ln kapan balik ya.... tiktok shop aja udah balik
Fri Jan 12 19:28:40 +0000 2024,Jam segini tuh jam rawan tbtb checkout barang di tiktokshopðŸ˜”
Fri Jan 12 18:51:52 +0000 2024,@superiyappp Beli di tiktok shop lebih murah
Fri Jan 12 18:51:01 +0000 2024,tiktok shop done got meðŸ¤¦ðŸ½â€â™€ï¸
Fri Jan 12 18:02:58 +0000 2024,ready akun tiktok murah udah bisa live dan tiktokshop  wts wtb need acc jual beli akun tiktok #zonauang https://t.co/Zm2kjRyKq0
Fri Jan 12 17:46:35 +0000 2024,"@FOODFESS2 hallo aku jga jual basreng, produk sendiri udh masuk umkm kota bandung, boleh banget niih cobain bisa check out di oren atau tiktokshop/hijau https://t.co/jJGfZ7Db1L harganya mulai dari 12 ribu aja berat bersihnya 125g, makasihh ya g udh kepoinðŸ’—"
Fri Jan 12 17:12:13 +0000 2024,@13jaeminie @tanyakanrl di tiktok shop kak  https://t.co/pcvYlofXIC
Fri Jan 12 17:05:28 +0000 2024,Ang gastos ng tiktok shop tangina
Fri Jan 12 17:00:55 +0000 2024,what?? racun tiktok shop lagi?? sticker aesthetic bawah rm4 je kottt takkaann tak mampu ðŸ˜¢ letak kat laptop ke buku mesti aesthetic! ðŸ˜ðŸ˜ https://t.co/gS8ldo1R6J
